,tahun,pekan_ke,jumlah,jumlah_pekanlalu,lebih_baik
41,2021,53,6375,0,False
84,2021,43,35,6375,True
83,2021,42,487,35,False
82,2021,41,656,487,False
81,2021,40,843,656,False
80,2021,39,1059,843,False
79,2021,38,1578,1059,False
78,2021,37,2561,1578,False
77,2021,36,3586,2561,False
76,2021,35,5771,3586,False
75,2021,34,8900,5771,False
74,2021,33,14353,8900,False
73,2021,32,20765,14353,False
72,2021,31,25172,20765,False
71,2021,30,34994,25172,False
70,2021,29,37930,34994,False
69,2021,28,44805,37930,False
68,2021,27,15635,44805,True
67,2021,26,9039,15635,True
66,2021,25,6134,9039,True
65,2021,24,4487,6134,True
64,2021,23,2740,4487,True
63,2021,22,1796,2740,True
62,2021,21,1636,1796,True
61,2021,20,1647,1636,False
60,2021,19,1348,1647,True
59,2021,18,1719,1348,False
58,2021,17,1859,1719,False
57,2021,16,1899,1859,False
56,2021,15,1869,1899,True
55,2021,14,2001,1869,False
54,2021,13,1838,2001,True
53,2021,12,2026,1838,False
52,2021,11,2092,2026,False
51,2021,10,2420,2092,False
50,2021,9,2712,2420,False
49,2021,8,3434,2712,False
48,2021,7,3692,3434,False
47,2021,6,4619,3692,False
46,2021,5,4806,4619,False
45,2021,4,6648,4806,False
44,2021,3,6747,6648,False
43,2021,2,6945,6747,False
42,2021,1,5966,6945,True
40,2020,52,5239,5966,True
39,2020,51,5174,5239,True
38,2020,50,4826,5174,True
37,2020,49,3465,4826,True
36,2020,48,2621,3465,True
35,2020,47,2349,2621,True
34,2020,46,1617,2349,True
33,2020,45,1856,1617,False
32,2020,44,2118,1856,False
31,2020,43,1951,2118,True
30,2020,42,1993,1951,False
29,2020,41,2063,1993,False
28,2020,40,2513,2063,False
27,2020,39,2123,2513,True
26,2020,38,2598,2123,False
25,2020,37,2410,2598,True
24,2020,36,2353,2410,True
23,2020,35,2885,2353,False
22,2020,34,2411,2885,True
21,2020,33,2500,2411,False
20,2020,32,2525,2500,False
19,2020,31,2365,2525,True
18,2020,30,2409,2365,False
17,2020,29,1735,2409,True
16,2020,28,2486,1735,False
15,2020,27,2434,2486,True
14,2020,26,1940,2434,True
13,2020,25,1673,1940,True
12,2020,24,1691,1673,False
11,2020,23,1045,1691,True
10,2020,22,1164,1045,False
9,2020,21,1455,1164,False
8,2020,20,673,1455,True
7,2020,19,402,673,True
6,2020,18,332,402,True
5,2020,17,192,332,True
4,2020,16,213,192,False
3,2020,15,221,213,False
2,2020,14,104,221,True
1,2020,13,56,104,True
0,2020,12,42,56,True
