,tanggal,kasus_baru,meninggal,sembuh
0,2020-03-18,7,1,0
1,2020-03-19,3,0,0
2,2020-03-20,9,0,0
3,2020-03-21,9,1,0
4,2020-03-22,14,0,0
5,2020-03-23,2,1,0
6,2020-03-24,3,1,0
7,2020-03-25,9,0,1
8,2020-03-26,13,1,0
9,2020-03-27,3,1,0
10,2020-03-28,14,2,2
11,2020-03-29,12,1,28
12,2020-03-30,7,2,0
13,2020-03-31,1,0,0
14,2020-04-01,9,4,77
15,2020-04-02,0,12,91
16,2020-04-03,47,1,7
17,2020-04-04,5,2,3
18,2020-04-05,35,2,8
19,2020-04-06,9,5,11
20,2020-04-07,5,5,2
21,2020-04-08,15,23,15
22,2020-04-09,36,12,43
23,2020-04-10,30,4,34
24,2020-04-11,15,9,27
25,2020-04-12,111,1,7
26,2020-04-13,52,3,6
27,2020-04-14,36,2,10
28,2020-04-15,25,4,4
29,2020-04-16,13,4,3
30,2020-04-17,10,6,3
31,2020-04-18,34,3,7
32,2020-04-19,43,6,2
33,2020-04-20,5,3,1
34,2020-04-21,10,5,2
35,2020-04-22,36,5,30
36,2020-04-23,27,4,12
37,2020-04-24,20,11,14
38,2020-04-25,75,7,19
39,2020-04-26,19,8,4
40,2020-04-27,12,5,9
41,2020-04-28,58,1,21
42,2020-04-29,20,3,10
43,2020-04-30,75,5,8
44,2020-05-01,83,5,33
45,2020-05-02,7,10,46
46,2020-05-03,77,6,9
47,2020-05-04,13,8,7
48,2020-05-05,41,7,21
49,2020-05-06,48,13,11
50,2020-05-07,34,14,9
51,2020-05-08,30,19,46
52,2020-05-09,158,12,63
53,2020-05-10,78,7,48
54,2020-05-11,54,13,70
55,2020-05-12,111,11,28
56,2020-05-13,141,7,47
57,2020-05-14,85,14,17
58,2020-05-15,57,13,12
59,2020-05-16,168,11,24
60,2020-05-17,57,11,30
61,2020-05-18,124,13,15
62,2020-05-19,84,13,48
63,2020-05-20,124,19,43
64,2020-05-21,431,14,12
65,2020-05-22,155,9,51
66,2020-05-23,465,20,90
67,2020-05-24,72,11,55
68,2020-05-25,200,16,34
69,2020-05-26,86,14,67
70,2020-05-27,166,15,44
71,2020-05-28,168,13,55
72,2020-05-29,132,8,52
73,2020-05-30,180,12,54
74,2020-05-31,232,16,203
75,2020-06-01,95,16,96
76,2020-06-02,171,19,298
77,2020-06-03,173,14,304
78,2020-06-04,107,15,179
79,2020-06-05,144,22,172
80,2020-06-06,84,19,117
81,2020-06-07,271,18,147
82,2020-06-08,319,20,161
83,2020-06-09,189,24,127
84,2020-06-10,275,29,203
85,2020-06-11,251,33,88
86,2020-06-12,245,29,185
87,2020-06-13,218,23,93
88,2020-06-14,194,22,63
89,2020-06-15,312,30,95
90,2020-06-16,205,22,59
91,2020-06-17,210,26,240
92,2020-06-18,319,23,269
93,2020-06-19,196,22,115
94,2020-06-20,300,18,257
95,2020-06-21,131,16,126
96,2020-06-22,329,11,116
97,2020-06-23,241,17,130
98,2020-06-24,183,19,161
99,2020-06-25,304,23,135
100,2020-06-26,360,32,186
101,2020-06-27,287,25,105
102,2020-06-28,236,21,182
103,2020-06-29,226,21,102
104,2020-06-30,394,24,198
105,2020-07-01,305,25,116
106,2020-07-02,342,28,222
107,2020-07-03,372,20,160
108,2020-07-04,384,31,154
109,2020-07-05,411,14,262
110,2020-07-06,280,18,219
111,2020-07-07,321,21,153
112,2020-07-08,393,17,164
113,2020-07-09,416,27,180
114,2020-07-10,295,17,311
115,2020-07-11,393,19,310
116,2020-07-12,388,21,261
117,2020-07-13,197,22,165
118,2020-07-14,278,26,272
119,2020-07-15,261,39,315
120,2020-07-16,191,17,254
121,2020-07-17,249,21,306
122,2020-07-18,257,26,224
123,2020-07-19,302,44,285
124,2020-07-20,287,25,258
125,2020-07-21,305,25,370
126,2020-07-22,359,32,311
127,2020-07-23,323,37,363
128,2020-07-24,563,31,349
129,2020-07-25,270,22,353
130,2020-07-26,302,33,260
131,2020-07-27,286,18,309
132,2020-07-28,273,31,311
133,2020-07-29,286,19,366
134,2020-07-30,315,20,283
135,2020-07-31,294,22,261
136,2020-08-01,581,19,238
137,2020-08-02,330,23,220
138,2020-08-03,321,16,259
139,2020-08-04,391,19,247
140,2020-08-05,414,11,347
141,2020-08-06,265,19,490
142,2020-08-07,365,21,576
143,2020-08-08,402,24,345
144,2020-08-09,367,29,317
145,2020-08-10,298,18,382
146,2020-08-11,288,22,278
147,2020-08-12,298,34,450
148,2020-08-13,327,36,569
149,2020-08-14,402,41,359
150,2020-08-15,416,27,366
151,2020-08-16,471,23,389
152,2020-08-17,313,27,389
153,2020-08-18,318,24,363
154,2020-08-19,338,27,485
155,2020-08-20,366,25,367
156,2020-08-21,451,39,367
157,2020-08-22,343,30,382
158,2020-08-23,282,28,369
159,2020-08-24,340,22,491
160,2020-08-25,364,20,460
161,2020-08-26,322,31,398
162,2020-08-27,362,31,353
163,2020-08-28,424,32,337
164,2020-08-29,615,25,264
165,2020-08-30,458,34,398
166,2020-08-31,315,38,493
167,2020-09-01,351,19,405
168,2020-09-02,359,17,360
169,2020-09-03,371,34,331
170,2020-09-04,330,43,347
171,2020-09-05,322,26,336
172,2020-09-06,305,32,391
173,2020-09-07,290,26,375
174,2020-09-08,425,27,348
175,2020-09-09,356,39,391
176,2020-09-10,370,27,316
177,2020-09-11,369,34,359
178,2020-09-12,364,24,442
179,2020-09-13,236,30,710
180,2020-09-14,358,31,346
181,2020-09-15,371,24,346
182,2020-09-16,357,24,340
183,2020-09-17,323,29,333
184,2020-09-18,488,23,538
185,2020-09-19,351,31,353
186,2020-09-20,350,21,321
187,2020-09-21,336,16,286
188,2020-09-22,336,22,379
189,2020-09-23,342,23,335
190,2020-09-24,359,24,363
191,2020-09-25,284,22,374
192,2020-09-26,269,17,344
193,2020-09-27,197,19,460
194,2020-09-28,280,22,451
195,2020-09-29,275,24,321
196,2020-09-30,531,51,565
197,2020-10-01,601,22,372
198,2020-10-02,269,22,363
199,2020-10-03,319,15,343
200,2020-10-04,238,18,331
201,2020-10-05,245,8,290
202,2020-10-06,275,9,247
203,2020-10-07,326,23,299
204,2020-10-08,343,20,329
205,2020-10-09,303,25,378
206,2020-10-10,310,20,371
207,2020-10-11,261,15,317
208,2020-10-12,297,19,317
209,2020-10-13,330,22,365
210,2020-10-14,300,21,346
211,2020-10-15,294,20,372
212,2020-10-16,286,21,402
213,2020-10-17,250,22,382
214,2020-10-18,236,21,318
215,2020-10-19,232,21,351
216,2020-10-20,295,12,339
217,2020-10-21,332,17,342
218,2020-10-22,272,22,380
219,2020-10-23,282,22,377
220,2020-10-24,292,18,349
221,2020-10-25,246,18,269
222,2020-10-26,288,13,285
223,2020-10-27,286,11,270
224,2020-10-28,232,15,260
225,2020-10-29,242,15,282
226,2020-10-30,218,46,542
227,2020-10-31,225,22,277
228,2020-11-01,627,23,345
229,2020-11-02,284,12,291
230,2020-11-03,261,24,280
231,2020-11-04,231,15,280
232,2020-11-05,270,9,274
233,2020-11-06,262,13,308
234,2020-11-07,269,25,282
235,2020-11-08,279,21,275
236,2020-11-09,243,28,278
237,2020-11-10,303,25,311
238,2020-11-11,185,21,272
239,2020-11-12,233,24,239
240,2020-11-13,224,21,291
241,2020-11-14,240,21,303
242,2020-11-15,189,10,278
243,2020-11-16,263,30,259
244,2020-11-17,317,29,248
245,2020-11-18,372,18,283
246,2020-11-19,408,33,248
247,2020-11-20,361,26,305
248,2020-11-21,354,23,265
249,2020-11-22,274,27,276
250,2020-11-23,341,29,268
251,2020-11-24,331,29,259
252,2020-11-25,378,35,284
253,2020-11-26,361,34,283
254,2020-11-27,375,43,338
255,2020-11-28,442,32,394
256,2020-11-29,393,32,267
257,2020-11-30,389,94,675
258,2020-12-01,419,30,403
259,2020-12-02,463,23,317
260,2020-12-03,532,36,372
261,2020-12-04,586,17,364
262,2020-12-05,540,27,395
263,2020-12-06,536,31,352
264,2020-12-07,572,30,397
265,2020-12-08,572,45,541
266,2020-12-09,670,46,527
267,2020-12-10,726,31,611
268,2020-12-11,812,32,444
269,2020-12-12,765,49,451
270,2020-12-13,709,30,563
271,2020-12-14,704,22,501
272,2020-12-15,705,47,746
273,2020-12-16,724,44,463
274,2020-12-17,832,36,612
275,2020-12-18,830,47,597
276,2020-12-19,736,50,518
277,2020-12-20,643,45,725
278,2020-12-21,803,35,600
279,2020-12-22,705,47,617
280,2020-12-23,812,44,648
281,2020-12-24,731,55,668
282,2020-12-25,734,56,514
283,2020-12-26,779,48,647
284,2020-12-27,675,40,543
285,2020-12-28,813,62,602
286,2020-12-29,766,56,661
287,2020-12-30,957,58,744
288,2020-12-31,1644,163,1257
289,2021-01-01,862,65,641
290,2021-01-02,763,69,678
291,2021-01-03,570,49,535
292,2021-01-04,673,49,501
293,2021-01-05,674,61,501
294,2021-01-06,801,51,906
295,2021-01-07,879,81,560
296,2021-01-08,977,70,625
297,2021-01-09,1015,51,591
298,2021-01-10,947,56,818
299,2021-01-11,845,46,486
300,2021-01-12,832,68,727
301,2021-01-13,885,75,883
302,2021-01-14,1006,66,766
303,2021-01-15,1254,69,786
304,2021-01-16,1217,48,708
305,2021-01-17,906,50,766
306,2021-01-18,863,38,704
307,2021-01-19,946,52,676
308,2021-01-20,940,59,700
309,2021-01-21,1122,51,915
310,2021-01-22,1046,52,813
311,2021-01-23,935,34,885
312,2021-01-24,895,44,765
313,2021-01-25,890,35,726
314,2021-01-26,933,55,746
315,2021-01-27,1089,44,770
316,2021-01-28,1034,45,753
317,2021-01-29,997,33,933
318,2021-01-30,854,38,804
319,2021-01-31,851,33,710
320,2021-02-01,669,36,928
321,2021-02-02,809,50,919
322,2021-02-03,719,64,662
323,2021-02-04,595,57,874
324,2021-02-05,752,61,834
325,2021-02-06,693,62,678
326,2021-02-07,569,32,697
327,2021-02-08,666,26,752
328,2021-02-09,446,24,348
329,2021-02-10,607,21,384
330,2021-02-11,1053,48,455
331,2021-02-12,774,92,577
332,2021-02-13,558,34,490
333,2021-02-14,515,38,396
334,2021-02-15,432,36,471
335,2021-02-16,474,17,288
336,2021-02-17,579,14,265
